index,env_id,curr_pos,curr_capacity,possible_actions,action,reward,bl_action,bl_reward,done
38504,77,0,1.0,[1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1.],5,3.725090980529785,6,10.635391235351562,False
38505,77,5,0.75,[1. 1. 1. 0. 1. 0. 1. 0. 0. 1. 1.],9,6.266416549682617,4,4.210716724395752,False
38506,77,9,0.64,[1. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1.],10,10.093476295471191,10,5.90344762802124,False
38507,77,10,0.3,[1. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0.],0,0.0,0,0.0,False
38508,77,0,1.0,[1. 1. 1. 0. 1. 0. 1. 0. 0. 0. 0.],1,11.015450477600098,1,11.015450477600098,False
38509,77,1,0.59,[1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0.],6,22.02463150024414,8,9.046894073486328,False
38510,77,6,0.25,[1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0.],4,4.210716724395752,7,6.508323192596436,False
38511,77,4,0.01,[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],0,0.0,0,0.0,False
38512,77,0,1.0,[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],2,17.960268020629883,2,17.960268020629883,True
38513,77,0,1.0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],10,16.28832244873047,0,0.0,True
39000,78,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],2,13.515148162841797,8,4.862524509429932,False
39001,78,2,0.77,[1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 1.],10,12.981085777282717,3,10.53993320465088,False
39002,78,10,0.3,[1. 1. 0. 1. 1. 1. 1. 1. 1. 1. 0.],1,6.438093662261963,2,14.389086723327637,False
39003,78,1,0.12,[1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0.],0,0.0,1,11.244745254516602,False
39004,78,0,1.0,[1. 0. 0. 1. 1. 1. 1. 1. 1. 1. 0.],3,7.249590396881103,5,0.5772089958190918,False
39005,78,3,0.76,[1. 0. 0. 0. 1. 1. 1. 1. 1. 1. 0.],6,20.777299880981445,0,0.0,False
39006,78,6,0.4,[1. 0. 0. 0. 1. 1. 0. 1. 1. 1. 0.],5,18.106216430664062,6,14.697208404541016,False
39007,78,5,0.21,[1. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0.],0,0.0,4,7.419477462768555,False
39008,78,0,1.0,[1. 0. 0. 0. 1. 0. 0. 1. 1. 1. 0.],4,16.318008422851562,10,4.943695545196533,False
39009,78,4,0.87,[1. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0.],7,9.400430679321287,0,0.0,False
39010,78,7,0.48,[1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0.],9,8.733016967773438,9,21.615440368652344,False
39011,78,9,0.16,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],8,23.37898826599121,7,8.155680656433105,True
39012,78,0,1.0,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1.],10,11.997255325317385,8,12.859159469604492,False
39013,78,10,0.6,[1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0.],8,1.684133529663086,6,8.074573516845703,True
39500,79,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],8,19.69151496887207,7,1.7949172258377075,False
39501,79,8,0.59,[1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1.],7,20.543495178222656,4,4.322163105010986,False
39502,79,7,0.26,[1. 1. 1. 1. 1. 1. 1. 0. 0. 1. 1.],9,18.2724723815918,0,0.0,False
39503,79,9,0.12,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1.],0,0.0,6,7.785689830780029,False
39504,79,0,1.0,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1.],6,7.785689830780029,9,9.84078884124756,False
39505,79,6,0.66,[1. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1.],4,10.835201263427734,1,15.813183784484863,False
39506,79,4,0.16,[1. 1. 1. 1. 0. 1. 0. 0. 0. 0. 1.],5,21.08095359802246,0,0.0,False
39507,79,5,0.04,[1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1.],0,0.0,8,19.69151496887207,False
39508,79,0,1.0,[1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 1.],1,13.548938751220703,10,1.541642665863037,False
39509,79,1,0.82,[1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1.],10,34.89231491088867,3,6.411681652069092,False
39510,79,10,0.54,[1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0.],2,28.141054153442383,5,29.282617568969727,False
39511,79,2,0.17,[1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],0,0.0,0,0.0,False
39512,79,0,1.0,[1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0.],3,24.977340698242188,2,22.18336296081543,True
